PDNetSlice.csv,,,,,,,,,,,
,P,Pv,Pc,Pf,T,S,Tm,Ts,Tc,R,Tpro
../test/01_Fib.iii,39,7,18,14,21,83053,2.143,0.735,10556.709,false,NULL
../test/01_Fib.iii,14,2,7,5,8,20,2.277,0.296,7.104,false,NULL
../test/02_Lamport.iii,97,6,49,42,64,575,4.151,1.58,36.201,true,NULL
../test/02_Lamport.iii,80,5,39,36,53,28,4.151,1.485,7.196,false,NULL
../test/03_Dekker.iii,67,5,36,26,42,101,3.104,1.25,10.984,true,NULL
../test/03_Dekker.iii,59,5,30,24,37,101,3.054,1.022,11.267,true,NULL
../test/04_Szymanski.iii,78,4,42,32,54,301,4.134,1.461,20.776,true,NULL
../test/04_Szymanski.iii,70,4,36,30,49,87,4.064,1.448,9.802,false,NULL
../test/05_Peterson.iii,59,5,32,22,36,101,2.673,1.124,11.441,true,NULL
../test/05_Peterson.iii,51,5,26,20,31,101,2.645,0.803,11.836,true,NULL
../test/06_Sync.iii,57,2,35,20,31,57,1.861,0.763,8.251,true,NULL
../test/06_Sync.iii,54,2,33,19,29,57,1.738,0.695,8.15,true,NULL
../test/07_Datarace.iii,60,6,33,21,33,84310,3.092,0.957,6949.655,true,NULL
../test/07_Datarace.iii,55,6,29,20,30,262,3.135,1.023,15.584,false,NULL
../test/08_Rwlock.iii,95,11,55,29,51,276,3.047,1.408,33.784,true,NULL
../test/08_Rwlock.iii,90,11,51,28,48,276,3.067,1.448,34.66,true,NULL
../test/09_Varmutex.iii,79,7,48,24,46,276,4.894,1.637,28.343,true,NULL
../test/09_Varmutex.iii,75,7,44,24,43,297,4.544,2.116,30.418,true,NULL
../test/10_Lazy.iii,49,3,29,17,28,63,1.803,0.776,8.87,false,NULL
../test/10_Lazy.iii,44,3,25,16,25,31,1.786,0.763,7.485,false,NULL
