DirectBuild.csv
,P,Pv,Pc,Pf,T,S,Tm,Ts,Tc,R,Tpro
../test/01_Fib.iii,77,10,41,26,37,155339,2.229000,NULL,30503.086000,false,NULL
../test/01_Fib.iii,77,10,41,26,37,83,2.113000,NULL,13.067000,false,NULL
../test/02_Lamport.iii,156,7,82,67,91,868,4.130000,NULL,83.984000,true,NULL
../test/02_Lamport.iii,156,7,82,67,91,37,4.199000,NULL,8.975000,false,NULL
../test/03_Dekker.iii,119,7,65,47,66,182,3.335000,NULL,21.147000,true,NULL
../test/03_Dekker.iii,119,7,65,47,66,182,3.436000,NULL,21.395000,true,NULL
../test/04_Szymanski.iii,138,6,75,57,82,312,4.423000,NULL,35.884000,true,NULL
../test/04_Szymanski.iii,138,6,75,57,82,90,4.083000,NULL,12.596000,false,NULL
../test/05_Peterson.iii,103,7,57,39,56,202,2.665000,NULL,22.884000,true,NULL
../test/05_Peterson.iii,103,7,57,39,56,202,2.740000,NULL,22.689000,true,NULL
../test/06_Sync.iii,85,6,50,29,44,82,1.991000,NULL,11.480000,true,NULL
../test/06_Sync.iii,85,6,50,29,44,82,1.749000,NULL,11.254000,true,NULL
../test/07_Datarace.iii,113,8,63,42,60,86792,3.022000,NULL,9492.664000,true,NULL
../test/07_Datarace.iii,113,8,63,42,60,292,3.258000,NULL,19.855000,false,NULL
../test/08_Rwlock.iii,124,14,71,39,63,391,2.970000,NULL,56.915000,true,NULL
../test/08_Rwlock.iii,124,14,71,39,63,391,3.058000,NULL,57.694000,true,NULL
../test/09_Varmutex.iii,123,10,72,41,66,519,4.519000,NULL,66.153000,true,NULL
../test/09_Varmutex.iii,123,10,72,41,66,519,4.706000,NULL,67.993000,true,NULL
../test/10_Lazy.iii,82,6,48,28,41,133,1.694000,NULL,19.057000,false,NULL
../test/10_Lazy.iii,82,6,48,28,41,40,1.665000,NULL,8.784000,false,NULL
