ProgramSliceNoDependence.csv
,P,Pv,Pc,Pf,T,S,Tm,Ts,Tc,R,Tdfd,Tcfd,Ttra,Tpro
../test/01_Fib_slice.iii,43,10,33,0,29,83055,1.538000,NULL,14910.118000,false,1.396000,17.990000,0.290000,19.676000
../test/01_Fib_slice.iii,25,8,17,0,15,50,0.902000,NULL,9.490000,false,1.248000,17.506000,0.329000,19.083000
../test/02_Lamport_slice.iii,74,7,67,0,76,416,2.684000,NULL,38.911000,true,2.009000,166.029000,0.609000,168.647000
../test/02_Lamport_slice.iii,62,7,55,0,65,21,2.275000,NULL,8.500000,false,1.949000,164.734000,0.784000,167.467000
../test/03_Dekker_slice.iii,59,7,52,0,53,114,1.933000,NULL,13.796000,true,1.393000,64.074000,0.419000,65.886000
../test/03_Dekker_slice.iii,41,7,34,0,36,99,1.566000,NULL,13.586000,true,1.392000,64.140000,0.505000,66.037000
../test/04_Szymanski_slice.iii,70,6,64,0,71,301,2.627000,NULL,27.216000,true,1.768000,450.665000,0.939000,453.372000
../test/04_Szymanski_slice.iii,50,6,44,0,52,58,2.000000,NULL,10.186000,false,1.742000,448.591000,1.146000,451.479000
../test/05_Peterson_slice.iii,50,7,43,0,42,96,1.572000,NULL,12.672000,true,1.290000,40.095000,0.250000,41.635000
../test/05_Peterson_slice.iii,31,7,24,0,24,78,1.252000,NULL,12.275000,true,1.348000,40.279000,0.348000,41.975000
../test/06_Sync_slice.iii,47,6,41,0,35,38,1.184000,NULL,8.384000,true,1.760000,14.379000,0.389000,16.528000
../test/06_Sync_slice.iii,37,6,31,0,28,38,1.182000,NULL,8.752000,true,1.683000,14.837000,0.654000,17.174000
../test/07_Datarace_slice.iii,59,8,51,0,48,85633,2.066000,NULL,8028.509000,true,1.879000,50.952000,0.412000,53.243000
../test/07_Datarace_slice.iii,47,8,39,0,38,284,2.135000,NULL,17.137000,false,1.870000,50.778000,0.798000,53.446000
../test/08_Rwlock_slice.iii,78,14,64,0,56,299,2.526000,NULL,40.035000,true,1.784000,32.880000,0.882000,35.546000
../test/08_Rwlock_slice.iii,66,14,52,0,43,416,2.047000,NULL,52.646000,true,1.893000,31.748000,0.917000,34.558000
../test/09_Varmutex_slice.iii,71,10,61,0,55,406,3.448000,NULL,45.688000,true,1.762000,30.096000,0.661000,32.519000
../test/09_Varmutex_slice.iii,53,10,43,0,39,771,3.088000,NULL,82.097000,true,1.722000,29.532000,0.700000,31.954000
../test/10_Lazy_slice.iii,48,6,42,0,35,74,1.307000,NULL,11.479000,false,1.620000,12.099000,0.230000,13.949000
../test/10_Lazy_slice.iii,31,5,26,0,22,34,1.002000,NULL,8.265000,false,1.585000,11.839000,0.408000,13.832000
